処理時間	最良個体の適応度	平方根和の差
4.010095	0.000010	0.000010
4.326106	0.000030	0.000030
4.313941	0.000030	0.000030
4.768662	0.000023	0.000023
4.774713	0.000023	0.000023
4.772856	0.000023	0.000023
4.770386	0.000023	0.000023
4.769031	0.000023	0.000023
4.788643	0.000034	0.000034
4.791396	0.000034	0.000034
4.787975	0.000034	0.000034
4.793627	0.000034	0.000034
4.789223	0.000034	0.000034
4.802956	0.000034	0.000034
4.799258	0.000034	0.000034
4.797592	0.000034	0.000034
4.801167	0.000034	0.000034
4.788253	0.000043	0.000043
4.785831	0.000043	0.000043
4.788552	0.000043	0.000043
4.788872	0.000043	0.000043
4.787480	0.000043	0.000043
4.792035	0.000043	0.000043
4.788317	0.000043	0.000043
4.789678	0.000043	0.000043
4.791539	0.000043	0.000043
4.006590	0.000001	0.000001
4.078655	0.000016	0.000016
4.095141	0.000017	0.000017
4.097737	0.000049	0.000049
4.124161	0.000013	0.000013
4.069069	0.000047	0.000047
4.068585	0.000013	0.000013
4.080852	0.000210	0.000210
4.097585	0.000005	0.000005
4.094738	0.000043	0.000043
4.102579	0.000001	0.000001
4.041948	0.000023	0.000023
4.012606	0.000003	0.000003
4.002529	0.000066	0.000066
4.030919	0.000033	0.000033
4.018338	0.000033	0.000033
4.028130	0.000004	0.000004
4.021732	0.000003	0.000003
3.999135	0.000059	0.000059
3.991315	0.000092	0.000092
4.050678	0.000063	0.000063
4.017856	0.000006	0.000006
4.060654	0.000016	0.000016
4.020516	0.000087	0.000087
4.035129	0.000030	0.000030
3.992588	0.000049	0.000049
3.996737	0.000053	0.000053
4.011831	0.000122	0.000122
3.989767	0.000119	0.000119
4.007296	0.000008	0.000008
