処理時間	平方根和の差	世代交代数	個体集団内の個体の数	エリート保存戦略で残す個体の数	トーナメント選択で無作為抽出する個体の数	突然変異確率	フロイド問題におけるN	選択方式	交叉方式
0.000073	0.130379	10	10	1	1	0.010000	16	ランキング選択	1点交叉
0.018340	0.014893	100	100	1	10	0.100000	32	トーナメント選択	2点交叉
0.018157	0.006627	100	100	1	10	0.100000	32	トーナメント選択	一様交叉
0.019145	0.012120	100	100	1	10	0.100000	32	トーナメント選択	1点交叉
0.018035	0.000010	100	100	1	10	0.100000	32	ランキング選択	2点交叉
0.019648	0.001790	100	100	1	10	0.100000	32	ランキング選択	一様交叉
0.016404	0.002304	100	100	1	10	0.100000	32	ランキング選択	1点交叉
0.031132	0.002294	100	100	1	10	0.100000	64	トーナメント選択	2点交叉
0.035971	0.002740	100	100	1	10	0.100000	64	トーナメント選択	一様交叉
0.029514	0.001010	100	100	1	10	0.100000	64	トーナメント選択	1点交叉
0.032995	0.011097	100	100	1	10	0.100000	64	ランキング選択	2点交叉
0.035613	0.004805	100	100	1	10	0.100000	64	ランキング選択	一様交叉
0.032495	0.002448	100	100	1	10	0.100000	64	ランキング選択	1点交叉
0.010580	0.003936	100	100	1	10	0.100000	16	トーナメント選択	2点交叉
0.011605	0.008142	100	100	1	10	0.100000	16	トーナメント選択	一様交叉
0.010672	0.001292	100	100	1	10	0.100000	16	トーナメント選択	1点交叉
0.011407	0.004776	100	100	1	10	0.100000	16	ランキング選択	2点交叉
0.010600	0.001511	100	100	1	10	0.100000	16	ランキング選択	一様交叉
0.009860	0.000970	100	100	1	10	0.100000	16	ランキング選択	1点交叉
0.015715	0.001598	100	100	1	10	0.010000	32	トーナメント選択	2点交叉
0.018532	0.004252	100	100	1	10	0.010000	32	トーナメント選択	一様交叉
0.015560	0.001186	100	100	1	10	0.010000	32	トーナメント選択	1点交叉
0.015367	0.005387	100	100	1	10	0.010000	32	ランキング選択	2点交叉
0.020987	0.000495	100	100	1	10	0.010000	32	ランキング選択	一様交叉
0.016275	0.001341	100	100	1	10	0.010000	32	ランキング選択	1点交叉
0.031461	0.013002	100	100	1	10	0.010000	64	トーナメント選択	2点交叉
0.035231	0.008332	100	100	1	10	0.010000	64	トーナメント選択	一様交叉
0.028746	0.001266	100	100	1	10	0.010000	64	トーナメント選択	1点交叉
0.031277	0.007334	100	100	1	10	0.010000	64	ランキング選択	2点交叉
0.038745	0.010104	100	100	1	10	0.010000	64	ランキング選択	一様交叉
0.027993	0.000034	100	100	1	10	0.010000	64	ランキング選択	1点交叉
0.010297	0.000970	100	100	1	10	0.010000	16	トーナメント選択	2点交叉
0.013049	0.000970	100	100	1	10	0.010000	16	トーナメント選択	一様交叉
0.009930	0.000970	100	100	1	10	0.010000	16	トーナメント選択	1点交叉
0.009392	0.001292	100	100	1	10	0.010000	16	ランキング選択	2点交叉
0.012460	0.001511	100	100	1	10	0.010000	16	ランキング選択	一様交叉
0.008660	0.000970	100	100	1	10	0.010000	16	ランキング選択	1点交叉
0.014845	0.004359	100	100	1	1	0.100000	32	トーナメント選択	2点交叉
0.017418	0.003515	100	100	1	1	0.100000	32	トーナメント選択	一様交叉
0.016780	0.000099	100	100	1	1	0.100000	32	トーナメント選択	1点交叉
0.017239	0.002932	100	100	1	1	0.100000	32	ランキング選択	2点交叉
0.019669	0.000783	100	100	1	1	0.100000	32	ランキング選択	一様交叉
0.017466	0.003010	100	100	1	1	0.100000	32	ランキング選択	1点交叉
0.030492	0.001960	100	100	1	1	0.100000	64	トーナメント選択	2点交叉
0.036060	0.013799	100	100	1	1	0.100000	64	トーナメント選択	一様交叉
0.027594	0.000129	100	100	1	1	0.100000	64	トーナメント選択	1点交叉
0.029072	0.002337	100	100	1	1	0.100000	64	ランキング選択	2点交叉
0.033880	0.002973	100	100	1	1	0.100000	64	ランキング選択	一様交叉
0.033700	0.005475	100	100	1	1	0.100000	64	ランキング選択	1点交叉
0.007703	0.001292	100	100	1	1	0.100000	16	トーナメント選択	2点交叉
0.009031	0.001786	100	100	1	1	0.100000	16	トーナメント選択	一様交叉
0.009129	0.000970	100	100	1	1	0.100000	16	トーナメント選択	1点交叉
0.010607	0.000970	100	100	1	1	0.100000	16	ランキング選択	2点交叉
0.011761	0.000970	100	100	1	1	0.100000	16	ランキング選択	一様交叉
0.010946	0.008142	100	100	1	1	0.100000	16	ランキング選択	1点交叉
