処理時間	平方根和の差	世代交代数	個体集団内の個体の数	エリート保存戦略で残す個体の数	トーナメント選択で無作為抽出する個体の数	突然変異確率	フロイド問題におけるN	選択方式	交叉方式
0.002686	0.042024	30	30	1	1	0.010000	64	ランキング選択	1点交叉
2.907612	0.000137	1000	1000	10	5	0.100000	64	トーナメント選択	2点交叉
3.067114	0.000032	1000	1000	10	5	0.100000	64	トーナメント選択	一様交叉
2.967975	0.000039	1000	1000	10	5	0.100000	64	トーナメント選択	1点交叉
4.130539	0.000087	1000	1000	10	5	0.100000	64	ランキング選択	2点交叉
3.996213	0.000092	1000	1000	10	5	0.100000	64	ランキング選択	一様交叉
4.007689	0.000016	1000	1000	10	5	0.100000	64	ランキング選択	1点交叉
3.062389	0.000075	1000	1000	10	5	0.010000	64	トーナメント選択	2点交叉
3.108123	0.000097	1000	1000	10	5	0.010000	64	トーナメント選択	一様交叉
2.981902	0.000019	1000	1000	10	5	0.010000	64	トーナメント選択	1点交叉
3.838420	0.000002	1000	1000	10	5	0.010000	64	ランキング選択	2点交叉
3.735819	0.000032	1000	1000	10	5	0.010000	64	ランキング選択	一様交叉
4.010580	0.000021	1000	1000	10	5	0.010000	64	ランキング選択	1点交叉
2.858570	0.000056	1000	1000	10	10	0.100000	64	トーナメント選択	2点交叉
2.901556	0.000028	1000	1000	10	10	0.100000	64	トーナメント選択	一様交叉
2.805215	0.000103	1000	1000	10	10	0.100000	64	トーナメント選択	1点交叉
3.861170	0.000022	1000	1000	10	10	0.100000	64	ランキング選択	2点交叉
4.004675	0.000023	1000	1000	10	10	0.100000	64	ランキング選択	一様交叉
3.911717	0.000025	1000	1000	10	10	0.100000	64	ランキング選択	1点交叉
2.809728	0.000023	1000	1000	10	10	0.010000	64	トーナメント選択	2点交叉
2.905154	0.000017	1000	1000	10	10	0.010000	64	トーナメント選択	一様交叉
2.810761	0.000025	1000	1000	10	10	0.010000	64	トーナメント選択	1点交叉
3.790259	0.000035	1000	1000	10	10	0.010000	64	ランキング選択	2点交叉
3.849776	0.000022	1000	1000	10	10	0.010000	64	ランキング選択	一様交叉
3.758139	0.000047	1000	1000	10	10	0.010000	64	ランキング選択	1点交叉
2.666041	0.000008	1000	1000	10	1	0.100000	64	トーナメント選択	2点交叉
2.672859	0.000064	1000	1000	10	1	0.100000	64	トーナメント選択	一様交叉
2.675825	0.000079	1000	1000	10	1	0.100000	64	トーナメント選択	1点交叉
3.755769	0.000204	1000	1000	10	1	0.100000	64	ランキング選択	2点交叉
3.691905	0.000010	1000	1000	10	1	0.100000	64	ランキング選択	一様交叉
3.790782	0.000256	1000	1000	10	1	0.100000	64	ランキング選択	1点交叉
2.653587	0.000042	1000	1000	10	1	0.010000	64	トーナメント選択	2点交叉
2.739415	0.000096	1000	1000	10	1	0.010000	64	トーナメント選択	一様交叉
2.677007	0.000038	1000	1000	10	1	0.010000	64	トーナメント選択	1点交叉
3.804124	0.000010	1000	1000	10	1	0.010000	64	ランキング選択	2点交叉
3.897956	0.000012	1000	1000	10	1	0.010000	64	ランキング選択	一様交叉
3.730837	0.000001	1000	1000	10	1	0.010000	64	ランキング選択	1点交叉
2.762131	0.000103	1000	1000	1	5	0.100000	64	トーナメント選択	2点交叉
2.795080	0.000065	1000	1000	1	5	0.100000	64	トーナメント選択	一様交叉
2.726421	0.000004	1000	1000	1	5	0.100000	64	トーナメント選択	1点交叉
3.788875	0.000048	1000	1000	1	5	0.100000	64	ランキング選択	2点交叉
3.721141	0.000034	1000	1000	1	5	0.100000	64	ランキング選択	一様交叉
3.781680	0.000052	1000	1000	1	5	0.100000	64	ランキング選択	1点交叉
2.766012	0.000031	1000	1000	1	5	0.010000	64	トーナメント選択	2点交叉
2.774292	0.000005	1000	1000	1	5	0.010000	64	トーナメント選択	一様交叉
2.779091	0.000118	1000	1000	1	5	0.010000	64	トーナメント選択	1点交叉
3.724050	0.000015	1000	1000	1	5	0.010000	64	ランキング選択	2点交叉
3.734271	0.000116	1000	1000	1	5	0.010000	64	ランキング選択	一様交叉
3.798087	0.000317	1000	1000	1	5	0.010000	64	ランキング選択	1点交叉
2.842151	0.000038	1000	1000	1	10	0.100000	64	トーナメント選択	2点交叉
